author,count(followers)
HEYITS_TOBY,3569
JESSEHEATH86,72
JESSIE_JESSIE_C,6327
HENRIQUEZ_A2,24
JASSMOORE11,10
JIHADONIGNRNC,15
HAWORYMYHAK,128
JOHANNBERGBERG,570
JOYCE_JACKSON18,83
JORDA_MORGAN,860
HAPPKENDRAHAPPY,5479
JUSTICE4JAMAR_,2
KAROLINEAUGE,21
HULCKHOGANN,523
GAGYSOKEFUV,203
HUNGRYCELIA,6
KARENPARKER93,4568
HONEYBOBOOBOO,41
JAIME_BOOO,79
JESSYBOWWOW,477
GUILLNAVARRETE,4918
GRACIE_____55,59
GRIGADWIN,20
INST_VETS,215
JUDELAMBERTUSA,2770
IRENEMCCANTS,55
JACKFAIRY1,12
JERMAINE_BOSSY,13
ISOKTOBEMARK,107
KARI_DODSON,19
IM_MADELINE_,24
IRENSAFRONOFF,517
ISMAILGAFUR1,1
JULIANNAPARF,704
GURGENALEEN,2
ITSDEREKMOR,10
GABRIELLAFALTZ,519
ISTOMINERNEST,35
JENNINGSL524,3
JOSHCARSSON,6
JYOTIRDHARREDDY,50
HARRYLEVVIS,3
HIIMJOEBRYANT,41
ILONAGRISHANINA,37
JMSCOXXX,4065
KABBALALOVER,36
ILSOLOVYOV,6
IRENNE_OFFICIAL,274
ILYAKALIUGIN,13
HOROSHAMASHKA,37
INTERFISCHER,2099
IRA_COMBOMB,3
KALINIKOVVIT,24
IGNITEDFIRESTAR,694
JOSEPH_JENKS,384
IZMAIL_SERG,498
G__AHARON,21
HARKOVLIVE,142
HICKEY_SETH,9
ITSFOMA,20
GUIDILILLIE,99
JEFFREYKAHUNAS,3377
JOSEFASPANG,25
GALINA_FR,13
GINNAGINNAA,11
GLOED_UP,2
HABDARRAHMAN4,13
HAIDARQUSAY,1
ISRAEL_WILLS,1217
IVEY_MEXX,65
JEROMYJEROM,25
GARRETTSIMPSON_,5007
GAVRIILZAHAROV,18
GALENTINIVAKIN,11
GRIGORANT,598
HOLDMEJERRY,541
HOLY_SPIRIT_IT,201
GRACELILSTAR,335
HIMKOVVLAD,527
INGRKOCH_KOCH,296
JOHAAJOTS,1111
GORBATOVLIVE,3
JAMIESAMY,126
GORELKINNN,38
GRISHINVANNO,58
HARRYTHEFATHER,122
IVAN_IVCHENK,4
GFFGFSFGFSDFFJJ,1042
HOLYCRAPCHRIX,2485
IMOGEENTR,1490
JAREDNOTLETO,47
JEANUTTELLA,7395
JIMTHURMANN,76
HELEN1HELEN1,171
HISLAATRM,6
IBRAHIMYUSSIF21,23
IIDDAAMARKS,6170
JERSTONER,5518
GRIGA_BASH,243
ILYA_CHAXTA,36
GLEBNIKON,1202
GORBENKOVAA_,488
HONEYCERF,526
IDRISMADZHEED,175
JUSSLILSTONER,12
GEORGIOSTR,25
GAYLEHAPPYMOM,80
HUMPHREYALESSIA,15
IRAK0T0VA,440
IRNELLA1,542
J0HNLARSEN,5945
JJ_WALSHJ,102
JOSHUASPENCE88,4
JWOODS_MAN,40
IRUSIKPUSIK78,509
JAS_BAC,14
JEREMIAH_JAH,63
JOSHUA_WOLFY,18
GEORGE_BENTLEY_,10
GEORGIIBAVIN,38
GLEB_XLEB_,95
ILIKEBIGBUTTAND,5207
JONACOLLETTE,12
GWENNYTHOT,5332
HYDDROX,17408
K2DANGER,14
JASONIRINA1,7
IRINA_GOOOOR,618
KAPFEN,14
KATHERINESKS,77
GROMOVAGIRLL,502
ILANPRICEUSA,3
IMASWERVE,5227
KATEDEBROOK,161
GIRSHVASILISA,481
HAFUPINK,6
HERLIFEISLOVE,721
IMAPHARRELFAKE,2685
JOHNMORGG,18
JOHNBRANCHH,1044
HAYDELYYST,7
HEYHEYHAILEY,2206
GRISHIN_SLAVA,44
IVANOVAQUISIPIN,1359
JORDANSHELTONW,105
KADEHUMBER,532
GREGFRANKLIN030,7
IRONSMIRANDA,9
HAMEEDALMUR66,3
IVAASSNTR,1145
GALLOWAYELIANA,1732
GALLYNAA,166
IDRIISFAHR,2
IBRAHIMSALIM222,16
GG_BATES,38
GOZHMAN,21
GVOZDYAMBA,28
GERAVAREEV,42
JEFFYDANIELS,51
JENNAJENNKINS,68
HANDSOME_HENSON,984
JENNATRAVELLER,302
ICEICETII,709
IWANOWAFAJA,1
JOACHIMBUCHWITZ,272
INFOREACTOR,9662
ITSREALROBERT,100
GARRET_CANDICE,47
HANNOVERBOTE1,3
JERY_ROBERTSYO,2702
GENADIY_ALEX,244
JOANNHARREL,9
JORDIN_RAMZI,30
GOTRICIAG,17
JAWORSKIKATRINA,104
JOHAN_NIGEL,9
GERMANBOROVKO,488
KATERITTERRRR,5960
GIBBS_JEREMY_,647
HUSSEINASSAHAFI,4
JAAMISSTR,5
JUSTIN_MC_CALL,98
KANSASDAILYNEWS,28890
GLOTOVANNA,516
HARERETRT,6
IAKOVLEVAAGAMBR,233
IVCENKOV,556
JEANNEMCCARTHY0,2597
GREINTRINA,37
JUNITAXX4535,5
HOLLANDPATRICKK,3177
JSHMRTNEZ,144
GODH8SBIGOTS,90
IAMMONICABABY,46
JUSTICE_4_JAMAR,26
INA_MALONE,84
JULIEIGNATIEVA,83
GRISHAZUBKOV,24
HERON_ANDREA,1205
JAROSLAVAKIMOV,28
ITS_OLESYA,1085
KARP_MAKS,30
GLADADILA,183
JOHJOHHO,115
KALIYAH_RRS,20
GLEBUSHKAGLEB,15
HANNAHALLL,9
HVOSTOVASVETIK,16
ITSTIMETOSECEDE,980
FORUMSTRATEGY,4
EVASSLTRT,3
EDENISYY,21
DAVIDI_HERE,1100
EVELYNSHALL,68
DANAIVANCH,459
DEREKKGREGORY,38
DIANA_17_08,946
EGORBARANOVV,913
ELNOXEL,11
EMMA_FSSXX,129
EVANNMOSSS,177
DARIDADAR,489
DARKNALLY,2451
ELIASBRICK,3080
DEBESSTRS,12186
DNEPRGOODNEWS,163
DREAMERALONEME,496
ELEVEN_GOP,101
DIAB0LO,45
DJKATKATKATIE,104
EISSYT56T,3456
DEALWITHWEIRDOS,11
DMITROVALERA,593
ED_WA_RDD,475
DANIE_LLE_H,14
DRMICHAELGARCIA,4452
DESTROYMEPLS,59
